team,season,opp_def_epa_per_play,opp_def_rush_epa,opp_def_rush_yards
IND,2021,-0.031940985,-0.04898955,4.4142857
IND,2022,-0.03386584,-0.073670395,4.1272016
IND,2023,-0.01606767,-0.037323758,4.0637064
IND,2024,0.008620038,-0.0919462,4.220339
JAX,2016,0.0072038025,-0.09251011,3.8183856
JAX,2017,-0.14908136,-0.10152228,4.3356643
JAX,2018,-0.055159222,-0.08994955,4.308756
JAX,2019,0.036399666,0.009181372,5.124138
JAX,2020,0.09391888,0.017607717,4.7408123
JAX,2021,0.08634,0.010705862,4.3144016
JAX,2022,-0.021299653,-0.07028235,4.1468086
JAX,2023,-0.038773455,-0.04237711,4.159145
JAX,2024,0.09815021,0.022297613,4.410959
KC,2016,-0.05519001,-0.0404876,4.4347825
KC,2017,-0.011228553,-0.028962553,4.2663655
KC,2018,0.044132344,0.057504814,4.9741178
KC,2019,-0.034097232,0.040144917,4.9302883
KC,2020,0.044518095,0.02855363,4.512702
KC,2021,0.014553073,-0.0033434583,4.770883
KC,2022,0.00926298,-0.03432351,4.3508353
KC,2023,-0.07026325,-0.02593593,4.4560184
KC,2024,-0.00041270113,-0.036830567,4.141148
LA,2016,-0.004408281,-0.041823942,3.9150944
LA,2017,-0.08279907,-0.022278368,4.6930456
LA,2018,-0.017999232,-0.01699793,5.069948
LA,2019,-0.038270358,-0.08534758,4.074324
LA,2020,-0.12860979,-0.15356413,3.7628865
LA,2021,-0.02863292,-0.07885276,3.959368
LA,2022,-0.0025640705,-0.04363466,4.298901
LA,2023,-0.024237812,-0.031959582,4.1939955
LA,2024,0.035705317,-0.0066804294,4.633124
LAC,2016,-0.013441461,-0.105134405,3.8219512
LAC,2017,-0.05898737,-0.009969834,4.87907
LAC,2018,-0.029291641,-0.037312157,4.286076
LAC,2019,0.015132641,-0.030986577,4.207459
LAC,2020,0.012261852,-0.06652635,4.4894614
LAC,2021,0.033529032,0.036317464,4.638507
LAC,2022,-0.018014777,0.05895551,5.4223194
LAC,2023,-0.015585336,-0.05803288,4.1199145
LAC,2024,-0.05097334,-0.06843465,4.6877933
LV,2016,-0.00043042513,-0.060034417,4.4679337
LV,2017,0.038586956,-0.05957797,4.025404
LV,2018,0.084850036,0.037063494,4.6854167
LV,2019,0.086289905,-0.07153245,3.8765433
LV,2020,0.08561783,0.037820872,4.5958905
LV,2021,0.04050604,-0.09254477,4.205628
LV,2022,0.015743637,-0.03205476,4.580435
LV,2023,-0.067303605,-0.08604907,4.206681
LV,2024,-0.0009689977,-0.07300864,4.3656387
MIA,2016,-0.009239878,-0.0029154746,4.825431
MIA,2017,-0.010884296,-0.09809055,4.102088
MIA,2018,0.014148812,-0.0060760975,4.7938147
MIA,2019,0.09040737,-0.018415213,4.4659796
MIA,2020,-0.050810445,-0.0020156966,4.5194173
MIA,2021,-0.033558372,-0.037330966,4.392941
MIA,2022,0.011578624,-0.0458004,4.149289
MIA,2023,-0.020380972,-0.049094576,3.8106236
MIA,2024,-0.0025079201,-0.06623641,4.3530865
MIN,2016,-0.07964757,-0.13922703,4.2351484
MIN,2017,-0.1228917,-0.15163289,3.6730769
MIN,2018,-0.0964671,-0.10401773,4.125
MIN,2019,-0.07116779,-0.12323929,4.277228
MIN,2020,0.080153786,0.013747289,4.5572033
MIN,2021,-0.012052316,0.03065259,4.6778946
MIN,2022,0.0019345983,-0.015395358,4.5205183
MIN,2023,-0.03264311,-0.09900781,3.7623317
MIN,2024,-0.07270754,-0.15186965,4.0510206
NE,2016,-0.068115026,-0.09114583,3.8505435
NE,2017,-0.0090020355,0.0030493143,4.707692
NE,2018,-0.046972256,-0.046726923,4.9128065
NE,2019,-0.1883551,-0.1214679,4.186301
NE,2020,0.032166243,0.07416657,4.5323277
NE,2021,-0.09005888,-0.016538227,4.5323277
NE,2022,-0.08886429,-0.09533301,4.0657597
NE,2023,-0.0655463,-0.19165015,3.3
NE,2024,0.050389316,-0.010632188,4.4043393
NO,2016,0.052447435,-0.07915093,4.1060605
NO,2017,-0.037957873,-0.029591829,4.401478
NO,2018,-0.02160562,-0.13898328,3.5955057
NO,2019,-0.054271657,-0.14967379,4.2347827
NO,2020,-0.057857774,-0.119513944,3.8205128
NO,2021,-0.11061419,-0.1426226,3.730047
NO,2022,-0.037923243,-0.035553362,4.50813
NO,2023,-0.109492734,-0.078592986,4.4112554
NO,2024,0.006380898,0.08463411,4.9161553
NYG,2016,-0.07478746,-0.16995107,3.5692694
NYG,2017,-0.01631891,-0.059869226,4.1659484
NYG,2018,0.04797485,-0.014000303,4.2747746
NYG,2019,0.02438187,-0.12328369,3.8635395
NYG,2020,0.015790153,-0.04828282,4.125
NYG,2021,0.0021253836,0.017380387,4.457317
NYG,2022,0.037667174,0.07990065,5.2260127
NYG,2023,-0.03167717,0.022888532,4.7389474
NYG,2024,0.040408768,-0.006848449,4.604374
NYJ,2016,0.018226992,-0.18228316,3.6939251
NYJ,2017,-0.006057703,-0.10655482,4.0493565
NYJ,2018,-0.013144577,-0.013261494,4.5931816
NYJ,2019,-0.046172634,-0.16944385,3.326139
NYJ,2020,0.05845546,-0.12036011,4.026966
NYJ,2021,0.09402134,-0.0019068464,4.470476
NYJ,2022,-0.061792456,-0.01924395,4.203252
NYJ,2023,-0.10719497,-0.10472838,4.077369
NYJ,2024,0.048451588,-0.0013575809,4.0853176
PHI,2016,-0.046664033,-0.05664028,4.225064
PHI,2017,-0.10442321,-0.1522873,3.7091987
