season_x,club_code,week,game_type,depth_team,last_name,first_name,football_name,formation,gsis_id,jersey_number,position,elias_id,depth_position,full_name,player_id,season_y,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,player_score
2024,PHI,22.0,SB,1,Goedert,Dallas,Dallas,Offense,00-0034351,88,TE,GOE595520,TE,Dallas Goedert,00-0034351,2024.0,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,52.0,496.0,2.0,2.0,0.0,343.0,257.0,20.0,19.366237246305356,0.0,10.478170252474357,1.9282225945724811,1.724581425889736,4.0995408899815375,0.0,61.6,103.6,10.0,0.1799307958477508,0.1557674841053587,0.2317403065825067,0.3945101810559133,0.226691042047532,0.1666666666666666,0.1923076923076923,0.1896551724137931,0.1966788543570993,0.2146861669713589,1.7162629757785468,0.1197106607196505,97.7
2024,PHI,22.0,SB,1,Hurts,Jalen,Jalen,Offense,00-0036389,1,QB,HUR767022,QB,Jalen Hurts,00-0036389,2024.0,REG,248.0,361.0,2903.0,18.0,5.0,38.0,271.0,5.0,3.0,2814.0,1375.0,139.0,41.36266696927139,0.0,15.019307410783204,2.181595309302152,150.0,630.0,14.0,4.0,2.0,62.0,42.63827943167077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.12,315.12,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2401939113069195,47.4
2024,KC,22.0,SB,2,Brown,Marquise,Marquise,Offense,00-0035662,5,WR,BRO413218,WR,Marquise Brown,00-0035662,2024.0,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,15.0,91.0,0.0,0.0,0.0,123.0,46.0,5.0,4.157604897452984,0.0,1.490138592750533,0.3793324775353016,0.5505285328246702,0.9543686892802216,0.0,9.1,18.1,2.0,0.189873417721519,0.2739420935412027,0.1274238227146814,0.5039638014152407,0.1568965517241379,0.0,0.1666666666666666,0.1470588235294117,0.0784482758620689,0.1255172413793103,1.1518987341772151,0.0839907192575406,46.7
2024,KC,22.0,SB,2,Gray,Noah,Noah,Offense,00-0036637,83,TE,GRA757316,TE,Noah Gray,00-0036637,2024.0,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-4.0,0.0,0.0,0.0,0.0,-1.4838600812945515,0.0,40.0,49.0,437.0,5.0,0.0,0.0,309.0,210.0,25.0,23.17624328713282,0.0,18.791622678878056,1.4736033145296712,1.3032638177706002,3.122689644233927,0.0,73.3,113.3,16.0,0.0852173913043478,0.0834683954619124,0.0937918713711478,0.1946008033260517,0.1121951219512195,0.2083333333333333,0.1179245283018868,0.1271186440677966,0.1602642276422764,0.1314227642276423,0.76,0.0807325067692746,75.5
2024,KC,22.0,SB,2,Hunt,Kareem,Kareem,Offense,00-0033923,29,RB,HUN308934,RB,Kareem Hunt,00-0033923,2024.0,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,728.0,7.0,0.0,0.0,42.0,2.1483876313845216,0.0,23.0,32.0,176.0,0.0,0.0,0.0,-58.0,216.0,10.0,3.0172128671776366,0.0,18.10833333333333,0.8725156626621552,-0.2417347939978169,1.1395591381947607,0.0,132.4,155.4,13.0,0.065173116089613,-0.0180629087511678,0.116254036598493,0.0833093471334852,0.0535117056856187,0.0,0.0555555555555555,0.0497512437810945,0.0267558528428093,0.0428093645484949,0.3584521384928716,0.1292995856422545,57.8
2024,KC,22.0,SB,2,Wentz,Carson,Carson,Offense,00-0032950,11,QB,WEN615770,QB,Carson Wentz,00-0032950,2024.0,REG,12.0,19.0,118.0,0.0,0.0,4.0,22.0,0.0,0.0,125.0,68.0,5.0,-6.755748213689312,0.0,4.816666666666666,0.0040729974285976,3.0,0.0,0.0,0.0,0.0,0.0,-3.542609063675627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.72,4.72,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0422636103151862,0.0
2024,KC,22.0,SB,2,Smith-Schuster,John,JuJu,Offense,00-0033857,9,WR,SMI829709,WR,John Smith-Schuster,00-0033857,2024.0,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,26.0,231.0,2.0,0.0,0.0,143.0,155.0,11.0,1.2846852903427872,0.0,15.313630229419704,0.794872135961281,0.7926720171136051,1.747178615921445,0.0,35.1,53.1,11.0,0.0658227848101265,0.056078431372549,0.0960942343459392,0.1435969223132291,0.0862906238326484,0.1176470588235294,0.0763888888888889,0.0807453416149068,0.1019688413280889,0.0925619108308246,0.5848101265822785,0.05565571021298,43.4
2024,PHI,22.0,SB,2,Campbell,Parris,Parris,Offense,00-0035639,80,WR,CAM230411,WR,Parris Campbell,00-0035639,2024.0,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,30.0,1.0,0.0,0.0,34.0,9.0,1.0,0.3884675193112343,0.0,2.881818181818182,0.3237386908786503,0.1891395913135043,0.6180057502374285,0.0,9.0,15.0,4.0,0.0784313725490196,0.0421313506815365,0.0260115606936416,0.1513521393687586,0.042796005706134,0.3333333333333333,0.0333333333333333,0.0606060606060606,0.1880646695197337,0.1009034712315739,0.2941176470588235,0.0484590036828842,25.9
2024,PHI,22.0,SB,2,Smith,Ainias,Ainias,Offense,00-0039747,82,WR,SMI024570,WR,Ainias Smith,00-0039747,2024.0,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,1.0,0.5962952937115915,0.0,7.0,9.0,41.0,1.0,0.0,0.0,38.0,23.0,1.0,-0.6391997685423121,0.0,6.897435897435898,0.2898197242841993,0.1402880405035577,0.5329312147787895,0.0,10.7,17.7,3.0,0.1034482758620689,0.0513513513513513,0.0891472868217054,0.1962534948741845,0.0580736543909348,0.1666666666666666,0.0285714285714285,0.048780487804878,0.1123701605288007,0.0797922568460812,0.4712643678160919,0.0622494197087993,32.3
2024,PHI,22.0,SB,2,Pickett,Kenny,Kenny,Offense,00-0038102,7,QB,PIC777233,QB,Kenny Pickett,00-0038102,2024.0,REG,25.0,42.0,291.0,2.0,1.0,4.0,33.0,1.0,0.0,347.0,57.0,12.0,3.437211132550439,0.0,2.136033136658919,0.3925648554810842,9.0,15.0,1.0,0.0,0.0,3.0,1.7277967237865957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.14,25.14,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0567315069729656,13.5
