team,off_epa_per_play,def_epa_per_play,pts_for_pg,pts_against_pg,scoring_margin,to_margin,third_down_pct,third_down_allowed,rz_td_pct,pass_yards_per_att,rush_yards_per_carry,sacks_allowed_pg,sacks_forced_pg,season
BAL,-1e-04,-0.0262,20.5069,18.4653,2.0417,2.0,0.4199,0.3712,0.1543,6.6294,5.3996,4.4706,5.6471,2022
BUF,0.0921,-0.0555,28.4375,17.875,10.5625,0.0,0.4836,0.3689,0.1977,7.4887,5.5061,4.125,5.0,2022
CAR,-0.0413,-0.0012,20.3056,22.1389,-1.8333,-2.0,0.3119,0.3867,0.197,7.1498,4.6208,4.2353,4.1176,2022
CHI,-0.0515,0.0995,19.1528,27.375,-8.2222,-2.0,0.4202,0.484,0.2044,6.9096,5.5385,6.8235,2.3529,2022
CIN,0.0568,-0.0517,26.4127,19.8889,6.5238,8.0,0.467,0.3932,0.2056,7.422,4.1277,5.5,3.75,2022
CLE,0.0028,0.0091,21.3056,22.3194,-1.0139,-1.0,0.3858,0.4083,0.1829,6.9346,4.8189,5.1765,4.0,2022
DAL,0.008,-0.1041,27.3125,20.1458,7.1667,12.0,0.4661,0.3725,0.2675,7.0468,4.4633,3.1765,6.3529,2022
DEN,-0.1143,-0.0591,16.9444,20.9583,-4.0139,-1.0,0.3052,0.3498,0.2245,7.0298,4.4633,7.4118,4.2353,2022
DET,0.0563,0.0664,26.2431,25.1042,1.1389,5.0,0.4061,0.4566,0.2245,7.5707,4.6887,2.8235,4.5882,2022
GB,-0.0089,0.0222,21.6319,21.8542,-0.2222,6.0,0.4198,0.3714,0.1859,6.9464,4.8299,3.7647,4.0,2022
HOU,-0.1873,-0.0058,16.9028,24.7986,-7.8958,-3.0,0.3112,0.3771,0.1549,6.301,3.798,4.4706,4.5882,2022
IND,-0.1688,-0.0326,17.125,24.9583,-7.8333,-15.0,0.3443,0.3814,0.141,6.393,4.3326,7.0588,5.1765,2022
JAX,0.0435,-0.0293,23.6875,20.5139,3.1736,5.0,0.4115,0.4304,0.1758,6.9832,4.8653,3.2941,4.1176,2022
KC,0.1682,-0.025,28.9514,21.5764,7.375,5.0,0.4789,0.4041,0.2318,8.0645,4.9012,3.0588,6.4706,2022
LA,-0.0899,0.008,17.8194,22.5764,-4.7569,-3.0,0.3948,0.3911,0.1985,6.6276,4.2005,6.9412,4.4706,2022
LAC,0.0008,-0.0025,22.9306,22.5903,0.3403,0.0,0.442,0.3953,0.1795,6.7574,3.9845,4.5882,4.7059,2022
LV,-0.0027,0.0474,23.4514,24.6736,-1.2222,-8.0,0.4099,0.4324,0.1691,7.1365,4.8656,4.1176,3.1765,2022
MIA,0.0347,-0.0,23.2569,23.0278,0.2292,-7.0,0.3598,0.4138,0.256,8.1732,4.5147,4.1176,4.7059,2022
MIN,-0.0137,0.0116,24.8125,25.1111,-0.2986,-2.0,0.3968,0.3787,0.2073,7.2018,4.2487,5.5294,4.4706,2022
NE,-0.0641,-0.1016,21.3056,20.2708,1.0347,1.0,0.3517,0.4,0.152,7.0911,4.5955,4.8235,6.3529,2022
NO,-0.0453,-0.0613,19.2917,20.2778,-0.9861,-11.0,0.4083,0.4237,0.1852,7.7824,4.3846,4.4706,5.6471,2022
NONE,,,,,,0.0,,,,,,,,2022
NYG,0.0224,0.0398,21.4167,21.8264,-0.4097,5.0,0.3571,0.3624,0.2348,6.6621,4.9882,5.7647,4.8235,2022
NYJ,-0.0918,-0.0571,17.4792,18.6389,-1.1597,-7.0,0.3516,0.3885,0.1522,6.4434,4.3046,4.9412,5.2941,2022
PHI,0.0855,-0.0684,28.1319,20.3264,7.8056,8.0,0.4408,0.3827,0.2094,8.157,4.8305,5.1765,8.2353,2022
PIT,0.0009,0.0154,18.2153,20.2361,-2.0208,6.0,0.4462,0.4034,0.1677,6.4341,4.2464,4.4706,4.7059,2022
SEA,-0.0143,0.0093,24.0556,23.8264,0.2292,2.0,0.3839,0.4355,0.1677,7.4991,4.9734,5.4118,5.2941,2022
SF,0.0667,-0.1303,26.375,16.3889,9.9861,9.0,0.4549,0.4068,0.1954,7.9082,4.883,3.6471,5.1765,2022
TB,-0.0461,-0.0347,18.2222,20.9861,-2.7639,0.0,0.3667,0.3686,0.1595,6.3449,3.5703,2.5882,5.2941,2022
TEN,-0.0702,-0.0043,17.5625,21.0903,-3.5278,3.0,0.3629,0.3333,0.2241,7.0923,4.5232,5.7647,4.5882,2022
WAS,-0.0777,-0.0784,18.9514,20.25,-1.2986,-11.0,0.3622,0.3378,0.1566,6.8533,4.0795,5.6471,5.0588,2022
ARI,-0.0761,0.0792,19.6389,26.9306,-7.2917,-3.0,0.384,0.4643,0.1957,6.1913,5.0746,4.9412,3.8824,2023
ATL,-0.104,-0.0692,19.1667,21.8472,-2.6806,-12.0,0.3975,0.3512,0.1554,7.1768,4.2179,4.7059,4.9412,2023
BAL,0.0524,-0.1513,28.1944,16.3889,11.8056,6.0,0.435,0.3673,0.2222,7.8722,5.0586,4.8235,7.0588,2023
BUF,0.0963,-0.0793,26.4097,18.4444,7.9653,4.0,0.4851,0.3817,0.2169,7.4627,4.5592,2.8235,6.3529,2023
CAR,-0.1794,-0.0028,13.8542,24.2431,-10.3889,-11.0,0.3428,0.3875,0.161,5.547,4.0113,7.6471,3.1765,2023
CHI,-0.0526,-0.0553,21.3819,22.1597,-0.7778,5.0,0.4055,0.4309,0.1974,6.6686,4.6272,5.8824,3.5294,2023
CIN,-0.0155,0.0251,21.3958,22.8056,-1.4097,8.0,0.3708,0.4,0.1845,6.9445,4.2044,5.8824,5.1765,2023
CLE,-0.1421,-0.1887,23.3542,21.7569,1.5972,-9.0,0.3333,0.295,0.1753,6.4694,3.965,5.2941,5.7647,2023
DAL,0.0899,-0.1182,30.3542,18.3819,11.9722,12.0,0.5,0.3625,0.1783,7.5896,4.3445,4.7059,5.4118,2023
DEN,-0.0656,0.0097,20.9097,24.5903,-3.6806,2.0,0.3811,0.3482,0.1609,7.0059,4.1895,6.1176,4.9412,2023
DET,0.0445,-0.0333,27.3056,23.1458,4.1597,0.0,0.4195,0.393,0.2132,7.6512,4.8664,3.6471,4.8235,2023
GB,0.0508,-0.0027,22.3542,20.5556,1.7986,2.0,0.4476,0.4142,0.1675,7.2712,4.4732,3.5294,5.2941,2023
HOU,-0.0282,-0.0439,22.0278,20.7917,1.2361,6.0,0.3661,0.3775,0.184,7.8123,3.7398,5.5294,5.4118,2023
IND,-0.0419,-0.0194,23.1458,24.3472,-1.2014,7.0,0.3583,0.3585,0.1564,6.7631,4.4411,4.8235,6.0,2023
JAX,-0.0774,-0.0484,22.2639,21.8958,0.3681,-5.0,0.406,0.348,0.1765,7.0597,3.8192,4.8235,4.7059,2023
KC,-0.0058,-0.0954,21.7639,17.3472,4.4167,-7.0,0.4198,0.3871,0.1941,6.9242,4.5964,3.2941,6.7059,2023
LA,0.0349,-0.0181,23.7708,22.0764,1.6944,-1.0,0.4269,0.377,0.1989,7.4138,4.3602,4.0,4.8235,2023
LAC,-0.0813,-0.0025,20.2778,23.4306,-3.1528,-2.0,0.3874,0.4008,0.175,6.8288,3.9382,5.0588,5.6471,2023
LV,-0.1041,-0.0705,19.2986,19.7153,-0.4167,-4.0,0.3755,0.4291,0.1569,6.6054,3.9025,4.7059,5.4118,2023
MIA,0.0826,-0.0456,29.0069,23.3542,5.6528,0.0,0.4072,0.3924,0.2247,8.3298,5.3007,3.6471,6.5882,2023
MIN,-0.0409,-0.0292,20.1806,21.4028,-1.2222,-12.0,0.4057,0.3984,0.1824,7.4841,4.0388,5.5294,5.0588,2023
NE,-0.1893,-0.0768,13.9931,21.5694,-7.5764,-13.0,0.3025,0.3569,0.2333,6.1007,3.9757,5.6471,4.2353,2023
NO,-0.0289,-0.104,23.7292,19.2153,4.5139,11.0,0.3976,0.3534,0.1932,6.9719,3.8627,4.1176,4.0,2023
NONE,,,,,,0.0,,,,,,,,2023
NYG,-0.1721,-0.0194,15.5625,23.6458,-8.0833,14.0,0.3065,0.3797,0.1667,6.5449,4.1938,10.0,4.0,2023
NYJ,-0.2521,-0.1311,15.6458,20.9653,-5.3194,-6.0,0.2786,0.3784,0.1071,5.6405,4.3013,7.5294,5.6471,2023
PHI,0.0464,0.046,25.7708,25.4097,0.3611,-12.0,0.4612,0.4542,0.2105,7.2238,4.3952,4.5882,5.0588,2023
PIT,-0.0884,-0.0635,17.8542,19.0486,-1.1944,13.0,0.3611,0.3915,0.1626,6.7877,4.3712,4.2353,5.5294,2023
SEA,0.011,0.0364,21.4653,23.6597,-2.1944,6.0,0.3604,0.4553,0.1722,7.2977,4.2769,4.4706,5.5294,2023
SF,0.1535,-0.0841,28.7917,17.6181,11.1736,8.0,0.4798,0.4192,0.2356,9.3984,5.08,4.0,5.6471,2023
TB,-0.04,-0.0284,20.3125,19.0069,1.3056,8.0,0.4129,0.3942,0.1679,7.1197,3.6691,4.7059,5.6471,2023
TEN,-0.0583,-1e-04,17.6458,21.7292,-4.0833,-1.0,0.344,0.4127,0.1966,7.1673,4.338,7.5294,5.2941,2023
WAS,-0.1053,0.0798,19.1667,30.6667,-11.5,-14.0,0.3529,0.4208,0.219,6.5629,4.4818,7.6471,4.5882,2023
ARI,0.0627,0.0491,23.3333,22.4861,0.8472,-5.0,0.4313,0.4167,0.2038,7.1199,5.3769,3.5294,4.8235,2024
ATL,0.0267,0.0597,22.8194,24.9306,-2.1111,-8.0,0.4069,0.442,0.1835,7.7171,4.6405,3.7647,3.6471,2024
BAL,0.2049,-0.0511,30.5278,21.125,9.4028,6.0,0.4709,0.3906,0.3067,8.875,5.878,2.8235,6.3529,2024
BUF,0.1762,-0.0112,31.0694,21.4236,9.6458,22.0,0.4342,0.4484,0.25,7.5877,4.7749,1.6471,4.5882,2024
CAR,-0.0567,0.1418,19.9931,31.6181,-11.625,-7.0,0.3445,0.4918,0.195,6.2358,4.7015,4.2353,3.7647,2024
CHI,-0.0831,0.0032,18.0694,21.9444,-3.875,10.0,0.3257,0.3712,0.162,6.3203,4.1695,8.0,4.7059,2024
CIN,0.0833,0.0285,27.8264,25.7083,2.1181,4.0,0.4487,0.4353,0.1866,7.5545,4.3179,5.6471,4.2353,2024
CLE,-0.1829,-0.0045,15.1597,25.4583,-10.2986,-18.0,0.29,0.3556,0.1385,5.8773,4.168,7.7647,4.8235,2024
DAL,-0.1113,0.0712,20.7569,27.2986,-6.5417,-6.0,0.3828,0.3436,0.1631,6.4543,4.0857,4.4706,6.1176,2024
DEN,0.0084,-0.1196,25.2222,18.1042,7.1181,4.0,0.3714,0.3684,0.2308,6.6924,4.3446,2.8235,7.4118,2024
DET,0.1516,-0.0629,33.0417,20.0069,13.0347,9.0,0.4615,0.3382,0.2267,8.6095,4.8491,3.8824,4.3529,2024
GB,0.0701,-0.0717,27.0764,20.0764,7.0,10.0,0.4112,0.3696,0.2234,8.2234,4.8491,2.5882,5.2941,2024
HOU,-0.0575,-0.072,21.7847,21.875,-0.0903,8.0,0.3623,0.35,0.1628,6.9455,4.539,6.3529,5.7647,2024
IND,-0.0583,-0.0048,22.2014,25.0139,-2.8125,-4.0,0.3783,0.4365,0.1582,7.0431,4.7955,3.7647,4.2353,2024
JAX,-0.0223,0.1178,19.0347,25.4028,-6.3681,-15.0,0.3665,0.4223,0.1837,6.8202,4.2678,3.7647,4.0,2024
KC,0.0566,0.0103,22.7083,19.1458,3.5625,4.0,0.4735,0.4237,0.1804,6.7659,4.257,4.8235,4.5882,2024
LA,0.005,0.0387,21.4583,22.5694,-1.1111,4.0,0.3767,0.4229,0.1813,7.3405,4.0894,3.6471,4.4706,2024
LAC,0.0272,-0.0696,23.6736,17.9444,5.7292,14.0,0.4025,0.3471,0.1788,7.6943,4.3176,5.1765,5.4118,2024
LV,-0.1447,0.0059,18.1528,25.5208,-7.3681,-16.0,0.3554,0.3878,0.1544,6.5349,3.7089,5.8824,4.4706,2024
MIA,-0.0401,-0.0216,20.5417,21.5,-0.9583,-3.0,0.3707,0.3404,0.1744,6.8756,4.0839,5.0588,4.1176,2024
MIN,0.008,-0.0881,25.25,19.6042,5.6458,12.0,0.4053,0.3551,0.1977,8.0055,4.3472,5.7647,5.7647,2024
NE,-0.0872,0.0647,17.1111,24.625,-7.5139,-13.0,0.3473,0.443,0.1373,6.3378,4.5114,6.1176,3.2941,2024
NO,-0.0563,0.034,19.7778,23.4444,-3.6667,2.0,0.3559,0.3992,0.2083,6.7818,4.5126,4.3529,4.5882,2024
NONE,,,,,,0.0,,,,,,,,2024
NYG,-0.1169,0.0515,16.1597,24.3264,-8.1667,-8.0,0.355,0.4184,0.1626,6.0085,4.3771,5.6471,5.2941,2024
NYJ,-0.0149,0.0198,19.9097,23.4306,-3.5208,0.0,0.3966,0.3797,0.2067,6.6161,4.3463,4.7059,5.0588,2024
PHI,0.1007,-0.1013,27.2778,17.8472,9.4306,13.0,0.4153,0.3648,0.1818,7.868,5.13,5.2941,4.8235,2024
PIT,-0.0483,-0.0253,22.3056,20.2569,2.0486,10.0,0.3976,0.3392,0.1657,7.2722,4.2004,5.7647,4.7059,2024
SEA,-0.0298,-0.0182,22.2083,21.5556,0.6528,-2.0,0.3671,0.373,0.216,7.4095,4.4351,6.3529,5.2941,2024
SF,0.0603,0.0294,22.7292,25.9097,-3.1806,-8.0,0.4213,0.4267,0.1846,8.3947,4.8244,4.2353,4.3529,2024
TB,0.1167,0.0117,29.5903,22.6528,6.9375,-9.0,0.4979,0.3833,0.2695,7.9035,5.4098,4.7059,5.4118,2024
TEN,-0.1175,0.0176,18.1667,26.8333,-8.6667,-15.0,0.3849,0.418,0.1825,6.871,4.1518,6.1176,3.7647,2024
WAS,0.1256,0.0041,28.4097,23.1111,5.2986,5.0,0.4557,0.4076,0.2153,7.5326,5.1204,5.8824,5.0588,2024
