team,off_epa_per_play,def_epa_per_play,pts_for_pg,pts_against_pg,scoring_margin,to_margin,third_down_pct,third_down_allowed,rz_td_pct,pass_yards_per_att,rush_yards_per_carry,sacks_allowed_pg,sacks_forced_pg,season
HOU,-0.0845,-0.0013,21.125,27.25,-6.125,-14.0,0.393,0.3795,0.2035,6.9808,4.1413,6.75,4.0,2017
IND,-0.1209,0.0605,16.4375,25.25,-8.8125,1.0,0.3918,0.4426,0.1391,6.6653,3.7914,7.0,3.125,2017
JAX,0.005,-0.1943,26.0625,16.75,9.3125,10.0,0.3821,0.3444,0.2192,7.0646,4.4492,3.0,6.875,2017
KC,0.0815,0.0018,25.9375,21.1875,4.75,11.0,0.3886,0.4072,0.1544,7.9816,4.8237,4.625,3.875,2017
LA,0.0358,-0.0794,29.875,20.5625,9.3125,11.0,0.4051,0.3792,0.2184,7.7965,4.5425,3.5,6.0,2017
LAC,0.0582,-0.0745,22.1875,17.0,5.1875,12.0,0.3991,0.3911,0.1679,7.833,4.0074,2.25,5.375,2017
LV,-0.0556,0.0613,18.8125,23.3125,-4.5,-16.0,0.393,0.417,0.2088,6.7522,4.3444,3.0,3.875,2017
MIA,-0.1262,0.0239,17.5625,24.5625,-7.0,-14.0,0.3304,0.3836,0.1818,6.3095,3.9575,4.125,3.75,2017
MIN,-0.0074,-0.1612,23.875,15.75,8.125,3.0,0.4458,0.2818,0.2292,7.4554,4.144,3.375,4.625,2017
NE,0.1112,0.0199,28.625,18.5,10.125,4.0,0.4242,0.4027,0.2121,7.8688,4.3949,4.375,5.25,2017
NO,0.0928,-0.0428,28.0,20.375,7.625,9.0,0.3951,0.4087,0.2166,8.1313,4.9271,2.5,5.25,2017
NONE,,,,,,0.0,,,,,,,,2017
NYG,-0.124,-0.0006,15.375,24.25,-8.875,-3.0,0.3333,0.3893,0.1792,6.0626,4.0232,4.375,3.375,2017
NYJ,-0.0753,-0.017,18.625,23.875,-5.25,0.0,0.3629,0.413,0.1942,6.9226,4.1622,5.875,3.5,2017
PHI,0.0345,-0.1332,28.5625,18.4375,10.125,12.0,0.437,0.3362,0.2372,7.0337,4.6659,4.5,4.75,2017
PIT,0.0479,-0.0485,25.375,19.25,6.125,4.0,0.4435,0.362,0.1813,7.7376,4.0671,3.0,7.0,2017
SEA,-0.0264,-0.0958,22.875,20.75,2.125,6.0,0.3729,0.392,0.1969,7.2214,4.1671,5.375,4.875,2017
SF,-0.0447,-0.0049,20.6875,23.9375,-3.25,-3.0,0.3852,0.436,0.1491,7.0116,4.201,5.375,3.75,2017
TB,-0.0058,0.0378,20.9375,23.875,-2.9375,-7.0,0.4384,0.475,0.1745,7.6528,3.7798,5.0,2.75,2017
TEN,-0.1017,-0.048,20.875,22.25,-1.375,-4.0,0.3839,0.3739,0.1826,6.8566,4.293,4.375,5.375,2017
WAS,-0.0659,-0.0406,21.375,24.25,-2.875,2.0,0.3288,0.371,0.1955,7.5937,3.7194,5.125,5.375,2017
ARI,-0.255,0.0192,14.0625,26.5625,-12.5,-12.0,0.2884,0.3733,0.1848,5.8381,3.8851,6.5,6.125,2018
