team,season,opp_def_epa_per_play,opp_def_pass_epa,opp_def_pass_yards
JAX,2017,-0.14908136,-0.26475647,10.636678
JAX,2018,-0.055159222,-0.005580555,10.75
JAX,2019,0.036399666,0.09703555,12.501529
JAX,2020,0.09391888,0.22405289,11.681081
JAX,2021,0.08634,0.18596832,10.90451
JAX,2022,-0.021299653,0.0007682725,11.05974
JAX,2023,-0.038773455,-0.052315447,10.779703
JAX,2024,0.09815021,0.19705175,11.838046
KC,2016,-0.05519001,-0.022176359,11.771428
KC,2017,-0.011228553,0.024399996,12.71077
KC,2018,0.044132344,0.043738715,11.628078
KC,2019,-0.034097232,-0.04891101,11.025568
KC,2020,0.044518095,0.045990746,11.369628
KC,2021,0.014553073,0.03616663,11.177057
KC,2022,0.00926298,-0.01926532,10.156863
KC,2023,-0.07026325,-0.14472254,9.858824
KC,2024,-0.00041270113,0.042800736,10.586667
LA,2016,-0.004408281,0.050656058,10.391535
LA,2017,-0.08279907,-0.11895024,11.725308
LA,2018,-0.017999232,-0.001316189,11.832853
LA,2019,-0.038270358,-0.015672425,11.287356
LA,2020,-0.12860979,-0.19751751,9.801153
LA,2021,-0.02863292,0.004549992,10.759615
LA,2022,-0.0025640705,0.04758507,10.912
LA,2023,-0.024237812,-0.008827462,11.430518
LA,2024,0.035705317,0.0758817,11.584745
LAC,2016,-0.013441461,0.023170326,11.585165
LAC,2017,-0.05898737,-0.12325233,10.386018
LAC,2018,-0.029291641,-0.0126589155,11.017143
LAC,2019,0.015132641,0.0810276,10.347561
LAC,2020,0.012261852,0.08103236,10.926471
LAC,2021,0.033529032,0.019380243,11.182073
LAC,2022,-0.018014777,-0.05386257,11.916129
LAC,2023,-0.015585336,0.037540503,11.773779
LAC,2024,-0.05097334,-0.070463374,10.250681
LV,2016,-0.00043042513,0.08619658,13.009147
LV,2017,0.038586956,0.15506227,11.207756
LV,2018,0.084850036,0.22534458,13.153846
LV,2019,0.086289905,0.21647535,12.922849
LV,2020,0.08561783,0.18383199,11.732432
LV,2021,0.04050604,0.13711883,9.99
LV,2022,0.015743637,0.10633129,10.829574
LV,2023,-0.067303605,-0.05831943,10.37234
LV,2024,-0.0009689977,0.06545323,10.781081
MIA,2016,-0.009239878,0.020348528,11.144022
MIA,2017,-0.010884296,0.11802558,11.174042
