game_id,season,week,posteam,defteam,rusher_player_name,rusher_player_id,rush_attempts,rush_yards,rush_tds,yards_after_contact,temp,wind,roof,surface,home_team,away_team,home_score,away_score,spread_line,total_line,is_dome,is_home,opp_def_epa_per_play,opp_def_rush_epa,opp_def_rush_yards,avg_rush_yards_l4,avg_rush_tds_l4,avg_rush_attempts_l4
2016_01_BUF_BAL,2016,1,BAL,BUF,J.Flacco,00-0026158,4.0,-3.0,0.0,0.0,84.0,8.0,outdoors,grass,BAL,BUF,13,7,3.0,44.5,0,1,-0.0046594655,-0.030744936,4.551282,,,
2016_01_BUF_BAL,2016,1,BAL,BUF,J.Forsett,00-0026373,10.0,41.0,0.0,0.0,84.0,8.0,outdoors,grass,BAL,BUF,13,7,3.0,44.5,0,1,-0.0046594655,-0.030744936,4.551282,,,
2016_01_BUF_BAL,2016,1,BAL,BUF,T.West,00-0031375,12.0,32.0,0.0,0.0,84.0,8.0,outdoors,grass,BAL,BUF,13,7,3.0,44.5,0,1,-0.0046594655,-0.030744936,4.551282,,,
2016_01_BUF_BAL,2016,1,BUF,BAL,L.McCoy,00-0027029,16.0,58.0,1.0,0.0,84.0,8.0,outdoors,grass,BAL,BUF,13,7,3.0,44.5,0,0,-0.06213542,-0.15123041,3.7239583,,,
2016_01_BUF_BAL,2016,1,BUF,BAL,R.Bush,00-0024217,3.0,-4.0,0.0,0.0,84.0,8.0,outdoors,grass,BAL,BUF,13,7,3.0,44.5,0,0,-0.06213542,-0.15123041,3.7239583,,,
2016_01_BUF_BAL,2016,1,BUF,BAL,T.Taylor,00-0028118,5.0,11.0,0.0,0.0,84.0,8.0,outdoors,grass,BAL,BUF,13,7,3.0,44.5,0,0,-0.06213542,-0.15123041,3.7239583,,,
2016_01_CAR_DEN,2016,1,CAR,DEN,C.Newton,00-0027939,11.0,54.0,1.0,0.0,85.0,10.0,outdoors,grass,DEN,CAR,21,20,-3.0,40.5,0,0,-0.0894819,-0.012922537,4.325726,,,
2016_01_CAR_DEN,2016,1,CAR,DEN,F.Whittaker,00-0029731,3.0,13.0,0.0,0.0,85.0,10.0,outdoors,grass,DEN,CAR,21,20,-3.0,40.5,0,0,-0.0894819,-0.012922537,4.325726,,,
2016_01_CAR_DEN,2016,1,CAR,DEN,J.Stewart,00-0026153,15.0,64.0,0.0,0.0,85.0,10.0,outdoors,grass,DEN,CAR,21,20,-3.0,40.5,0,0,-0.0894819,-0.012922537,4.325726,,,
2016_01_CAR_DEN,2016,1,DEN,CAR,C.Anderson,00-0029854,20.0,92.0,1.0,0.0,85.0,10.0,outdoors,grass,DEN,CAR,21,20,-3.0,40.5,0,1,-0.027315455,-0.083682045,3.8962767,,,
2016_01_CAR_DEN,2016,1,DEN,CAR,D.Booker,00-0032972,3.0,8.0,0.0,0.0,85.0,10.0,outdoors,grass,DEN,CAR,21,20,-3.0,40.5,0,1,-0.027315455,-0.083682045,3.8962767,,,
2016_01_CAR_DEN,2016,1,DEN,CAR,T.Siemian,00-0032156,5.0,20.0,0.0,0.0,85.0,10.0,outdoors,grass,DEN,CAR,21,20,-3.0,40.5,0,1,-0.027315455,-0.083682045,3.8962767,,,
2016_01_CHI_HOU,2016,1,CHI,HOU,J.Langford,00-0031569,17.0,57.0,1.0,0.0,59.0,0.0,closed,fieldturf,HOU,CHI,23,14,5.5,43.0,0,0,-0.066996,-0.16115515,4.017632,,,
2016_01_CHI_HOU,2016,1,HOU,CHI,B.Osweiler,00-0029682,4.0,14.0,0.0,0.0,59.0,0.0,closed,fieldturf,HOU,CHI,23,14,5.5,43.0,0,1,0.041038316,0.0098586315,4.3820224,,,
2016_01_CHI_HOU,2016,1,HOU,CHI,L.Miller,00-0029615,28.0,106.0,0.0,0.0,59.0,0.0,closed,fieldturf,HOU,CHI,23,14,5.5,43.0,0,1,0.041038316,0.0098586315,4.3820224,,,
2016_01_CIN_NYJ,2016,1,CIN,NYJ,A.Dalton,00-0027973,3.0,7.0,0.0,0.0,79.0,17.0,outdoors,fieldturf,NYJ,CIN,22,23,1.0,42.0,0,0,0.018226992,-0.18228316,3.6939251,,,
2016_01_CIN_NYJ,2016,1,CIN,NYJ,G.Bernard,00-0030456,5.0,25.0,0.0,0.0,79.0,17.0,outdoors,fieldturf,NYJ,CIN,22,23,1.0,42.0,0,0,0.018226992,-0.18228316,3.6939251,,,
2016_01_CIN_NYJ,2016,1,CIN,NYJ,J.Hill,00-0031301,9.0,31.0,1.0,0.0,79.0,17.0,outdoors,fieldturf,NYJ,CIN,22,23,1.0,42.0,0,0,0.018226992,-0.18228316,3.6939251,,,
2016_01_CIN_NYJ,2016,1,NYJ,CIN,B.Powell,00-0028064,4.0,41.0,0.0,0.0,79.0,17.0,outdoors,fieldturf,NYJ,CIN,22,23,1.0,42.0,0,1,0.008325444,-0.03874197,4.3980584,,,
2016_01_CIN_NYJ,2016,1,NYJ,CIN,M.Forte,00-0026184,22.0,96.0,0.0,0.0,79.0,17.0,outdoors,fieldturf,NYJ,CIN,22,23,1.0,42.0,0,1,0.008325444,-0.03874197,4.3980584,,,
2016_01_CIN_NYJ,2016,1,NYJ,CIN,R.Fitzpatrick,00-0023682,4.0,15.0,0.0,0.0,79.0,17.0,outdoors,fieldturf,NYJ,CIN,22,23,1.0,42.0,0,1,0.008325444,-0.03874197,4.3980584,,,
2016_01_CLE_PHI,2016,1,CLE,PHI,D.Johnson,00-0032257,3.0,22.0,0.0,0.0,85.0,14.0,outdoors,grass,PHI,CLE,29,10,3.5,41.0,0,0,-0.046664033,-0.05664028,4.225064,,,
2016_01_CLE_PHI,2016,1,CLE,PHI,I.Crowell,00-0030656,12.0,62.0,1.0,0.0,85.0,14.0,outdoors,grass,PHI,CLE,29,10,3.5,41.0,0,0,-0.046664033,-0.05664028,4.225064,,,
