player_id,name,team,season,gp,sv_pct,gaa,sv_pct_z,gaa_z,gsaa_z,goalie_score
8455710,Martin Brodeur,NJD,2000,72,0.90578,2.31816,0.3183501569810618,-0.8700396538301604,0.0,0.5290092375467335
8451033,Patrick Roy,COL,2000,62,0.91275,2.20951,0.8665021272331984,-1.1193347002955916,0.0,0.9877970733595549
8456692,Arturs Irbe,CAR,2000,77,0.90755,2.45139,0.45755087252571874,-0.5643463354630252,0.0,0.5119298556146499
8447687,Dominik Hasek,BUF,2000,67,0.92062,2.10543,1.4854341223385628,-1.3581439818061478,0.0,1.4903761621148035
8448535,Olie Kolzig,WSH,2000,72,0.9088,2.482,0.5558564625996392,-0.49411236056834595,0.0,0.5525971081998265
8459541,Tommy Salo,EDM,2000,73,0.90355,2.461,0.14297298428919455,-0.5422964008423831,0.0,0.292448025130151
8459579,Patrick Lalime,OTT,2000,60,0.91402,2.34545,0.9663806067483031,-0.8074233462549965,0.0,0.9420292159660344
8468651,Roman Cechmanek,PHI,2000,59,0.92144,2.01079,1.5499225894270534,-1.5752933899744714,0.0,1.6123464440584065
8445386,Ed Belfour,DAL,2000,63,0.9045,2.3431,0.21768523274536947,-0.8128153698094717,0.0,0.44061300548035626
8448382,Curtis Joseph,TOR,2000,68,0.91452,2.38532,1.0057028427778643,-0.715942504077576,0.0,0.9353485166837505
8460705,Evgeni Nabokov,SJS,2000,66,0.91466,2.18946,1.0167130688661448,-1.1653389863667547,0.0,1.1054425494538846
8459432,Jocelyn Thibault,CHI,2000,66,0.89479,2.80926,-0.5459525909487921,0.2567785451498018,0.0,-0.46001832692613687
8457714,Felix Potvin,"VAN,LAK",2000,58,0.89966,2.617,-0.16295401202082097,-0.1843578159495419,0.0,-0.04281676519426232
8445769,Sean Burke,PHX,2000,62,0.9219,2.27235,1.586099046574255,-0.9751496959708088,0.0,1.4194034447605297
8458568,Chris Osgood,DET,2000,52,0.90305,2.68876,0.10365074825963339,-0.01970606689883551,0.0,0.07682125055937067
8458266,Roman Turek,STL,2000,54,0.90144,2.28334,-0.02296685175556752,-0.9499333815607297,0.0,0.32845585128911625
8459308,Manny Legace,DET,2000,39,0.91969,2.05014,1.412294763323572,-1.4850056764133612,0.0,1.487129349137302
8451837,Ron Tugnutt,CBJ,2000,53,0.91688,2.43532,1.1913037968374156,-0.6012185986632044,0.0,1.0186004664426038
8455994,Byron Dafoe,BOS,2000,45,0.90613,2.38915,0.34587572220175455,-0.7071546529228356,0.0,0.4885474165053475
8456137,Mike Dunham,NSH,2000,48,0.92251,2.28437,1.6340721745303248,-0.9475700691091934,0.0,1.44167264161172
8460535,Jose Theodore,MTL,2000,59,0.90879,2.56532,0.5550700178790426,-0.30293644458583724,0.0,0.48285841078133745
8450833,Mike Richter,NYR,2000,45,0.89277,3.27881,-0.7048144245082384,1.3341507408961697,0.0,-0.9568582395647427
8462102,Jean-Sebastien Aubin,PIT,2000,36,0.89003,3.13155,-0.9203002779502545,0.9962658946697607,0.0,-0.9794133769430318
8459463,Kevin Weekes,TBL,2000,61,0.89839,3.14405,-0.2628324915359168,1.024946871023354,0.0,-0.5477630732150883
8462161,Brent Johnson,STL,2000,31,0.9068,2.16736,0.398567518481377,-1.2160469525599071,0.0,0.7082039155036003
8460497,Jamie Storr,LAK,2000,45,0.8992,2.73873,-0.19913046916802246,0.09494900417228809,0.0,-0.16825448425060932
8458988,Manny Fernandez,MIN,2000,42,0.91979,2.2434,1.4201592105294842,-1.0415748372057303,0.0,1.3318849680510172
8446719,Bob Essensa,VAN,2000,39,0.89227,2.68126,-0.7441366605377995,-0.03691465271099095,0.0,-0.48693936811051636
8447715,Guy Hebert,"ANA,NYR",2000,54,0.89677,3.19305,-0.3902365362717142,1.1373762983294384,0.0,-0.6741222367755287
8459252,Fred Brathwaite,CGY,2000,49,0.91024,2.31989,0.6691045023647875,-0.8660702067028235,0.0,0.7633938861212184
8452157,John Vanbiesbrouck,"NYI,NJD",2000,48,0.90078,2.87459,-0.07487220331459349,0.40667679996422007,0.0,-0.19756469666134716
8458075,Garth Snow,PIT,2000,35,0.90039,2.98269,-0.10554354741765469,0.6547098834700922,0.0,-0.3079793878459229
8460712,Tomas Vokoun,NSH,2000,37,0.90957,2.44233,0.6164127060851651,-0.585134307124109,0.0,0.6262626926840085
8460612,Marty Turco,DAL,2000,26,0.92481,1.89643,1.8149544602663237,-1.8376899064382233,0.0,1.8855279687467175
8466141,Roberto Luongo,FLA,2000,47,0.91972,2.44259,1.4146540974853439,-0.5845377428159544,0.0,1.162726100220442
8452217,Mike Vernon,CGY,2000,41,0.88297,3.23236,-1.4755302506877157,1.2275722327662177,0.0,-1.4364476321521886
8458584,Milan Hnilicka,ATL,2000,36,0.88958,3.35278,-0.9556902903768595,1.503873286566192,0.0,-1.186972251249937
8466192,Jani Hurme,OTT,2000,22,0.90408,2.49954,0.18465455448053636,-0.4538672145489845,0.0,0.28845833786536146
8466290,David Aebischer,COL,2000,26,0.90334,2.24044,0.12645764515678234,-1.0483664924062608,0.0,0.4645529841815233
8462044,Jean-Sebastien Giguere,ANA,2000,34,0.91086,2.56993,0.7178640750414451,-0.29235890050663216,0.0,0.5884799717448375
8465093,Robert Esche,PHX,2000,25,0.89649,3.02278,-0.41225698844826664,0.7466955108313361,0.0,-0.5474920187501081
8456830,Trevor Kidd,FLA,2000,42,0.89317,3.31369,-0.6733566356845807,1.414182137313235,0.0,-0.9646814654404292
